time;Crypto;;
04.09.2019 00:10;403,68;;
04.09.2019 00:15;403,49;;
04.09.2019 00:20;403,27;;
04.09.2019 00:25;402,97;;
04.09.2019 00:30;402,84;;
04.09.2019 00:35;403,04;;
04.09.2019 00:40;403,13;;
04.09.2019 00:45;403,48;;
04.09.2019 00:50;404,03;;
04.09.2019 00:55;404,42;;
04.09.2019 01:00;403,82;;
04.09.2019 01:05;401,28;;
04.09.2019 01:10;400,73;;
04.09.2019 01:15;399,61;;
04.09.2019 01:20;399,73;;
04.09.2019 01:25;400,32;;
04.09.2019 01:30;400,04;;
04.09.2019 01:35;399,03;;
04.09.2019 01:40;400,59;;
04.09.2019 01:45;401,1;;
04.09.2019 01:50;400,48;;
04.09.2019 01:55;400,36;;
04.09.2019 02:00;399,52;;
04.09.2019 02:05;399,14;;
04.09.2019 02:10;399,33;;
04.09.2019 02:15;398,86;;
04.09.2019 02:20;399,32;;
04.09.2019 02:25;399,27;;
04.09.2019 02:30;399,38;;
04.09.2019 02:35;399,74;;
04.09.2019 02:40;400,16;;
04.09.2019 02:45;400,37;;
04.09.2019 02:50;400,07;;
04.09.2019 02:55;399,6;;
04.09.2019 03:00;399,1;;
04.09.2019 03:05;398,66;;
04.09.2019 03:10;397,45;;
04.09.2019 03:15;397,67;;
04.09.2019 03:20;397,24;;
04.09.2019 03:25;396,24;;
04.09.2019 03:30;396,16;;
04.09.2019 03:35;397,04;;
04.09.2019 03:40;396,83;;
04.09.2019 03:45;397,14;;
04.09.2019 03:50;397,83;;
04.09.2019 03:55;397,05;;
04.09.2019 04:00;397,52;;
04.09.2019 04:05;397,03;;
04.09.2019 04:10;397,07;;
04.09.2019 04:15;397,39;;
04.09.2019 04:20;396,97;;
04.09.2019 04:25;397,4;;
04.09.2019 04:30;397,89;;
04.09.2019 04:35;397,73;;
04.09.2019 04:40;397,88;;
04.09.2019 04:45;398,21;;
04.09.2019 04:50;397,96;;
04.09.2019 04:55;397,48;;
04.09.2019 05:00;397,11;;
04.09.2019 05:05;396,84;;
04.09.2019 05:10;397,02;;
04.09.2019 05:15;397,2;;
04.09.2019 05:20;397,78;;
04.09.2019 05:25;397,7;;
04.09.2019 05:30;397,46;;
04.09.2019 05:35;398,02;;
04.09.2019 05:40;397,83;;
04.09.2019 05:45;397,71;;
04.09.2019 05:50;399,04;;
04.09.2019 05:55;399,87;;
04.09.2019 06:00;400,61;;
04.09.2019 06:05;400,22;;
04.09.2019 06:10;399,83;;
04.09.2019 06:15;399,25;;
04.09.2019 06:20;399,24;;
04.09.2019 06:25;399,18;;
04.09.2019 06:30;399,24;;
04.09.2019 06:35;399,03;;
04.09.2019 06:40;398,29;;
04.09.2019 06:45;398,52;;
04.09.2019 06:50;398,75;;
04.09.2019 06:55;398,31;;
04.09.2019 07:00;398,6;;
04.09.2019 07:05;398,4;;
04.09.2019 07:10;397,97;;
04.09.2019 07:15;397,69;;
04.09.2019 07:20;397,35;;
04.09.2019 07:25;397,49;;
04.09.2019 07:30;397,73;;
04.09.2019 07:35;397,85;;
04.09.2019 07:40;397,65;;
04.09.2019 07:45;397,34;;
04.09.2019 07:50;397,36;;
04.09.2019 07:55;398,04;;
04.09.2019 08:00;398,49;;
04.09.2019 08:05;398,27;;
04.09.2019 08:10;398,67;;
04.09.2019 08:15;398,49;;
04.09.2019 08:20;398,45;;
04.09.2019 08:25;398,95;;
04.09.2019 08:30;398,35;;
04.09.2019 08:35;398,05;;
04.09.2019 08:40;398,12;;
04.09.2019 08:45;398,28;;
04.09.2019 08:50;398,08;;
04.09.2019 08:55;398,03;;
04.09.2019 09:00;398,16;;
04.09.2019 09:05;398,29;;
04.09.2019 09:10;398,11;;
04.09.2019 09:15;397,97;;
04.09.2019 09:20;397,28;;
04.09.2019 09:25;397,29;;
04.09.2019 09:30;396,77;;
04.09.2019 09:35;396,58;;
04.09.2019 09:40;396,74;;
04.09.2019 09:45;396,77;;
04.09.2019 09:50;397,13;;
04.09.2019 09:55;397,49;;
04.09.2019 10:00;397,3;;
04.09.2019 10:05;397,04;;
04.09.2019 10:10;396,02;;
04.09.2019 10:15;396,19;;
04.09.2019 10:20;396,06;;
04.09.2019 10:25;396,03;;
04.09.2019 10:30;395,64;;
04.09.2019 10:35;394,95;;
04.09.2019 10:40;395,23;;
04.09.2019 10:45;393,84;;
04.09.2019 10:50;394,77;;
04.09.2019 10:55;394,93;;
04.09.2019 11:00;394,66;;
04.09.2019 11:05;395,34;;
04.09.2019 11:10;395,75;;
04.09.2019 11:15;395,49;;
