Time;S&P
04.09.2019 15:30;2929,43
04.09.2019 15:35;2928,66
04.09.2019 15:40;2929,3
04.09.2019 15:45;2928,27
04.09.2019 15:50;2928,32
04.09.2019 15:55;2928,15
04.09.2019 16:00;2927,86
04.09.2019 16:05;2925,85
04.09.2019 16:10;2922,44
04.09.2019 16:15;2924,65
04.09.2019 16:20;2924,07
04.09.2019 16:25;2925,54
04.09.2019 16:30;2926,26
04.09.2019 16:35;2925,03
04.09.2019 16:40;2924,41
04.09.2019 16:45;2925,21
04.09.2019 16:50;2926,52
04.09.2019 16:55;2927,16
04.09.2019 17:00;2927
04.09.2019 17:05;2927,37
04.09.2019 17:10;2925,75
04.09.2019 17:15;2927,73
04.09.2019 17:20;2928,54
04.09.2019 17:25;2930,72
04.09.2019 17:30;2931,85
04.09.2019 17:35;2931,81
04.09.2019 17:40;2933,31
04.09.2019 17:45;2932,99
04.09.2019 17:50;2932,93
04.09.2019 17:55;2933,18
04.09.2019 18:00;2933,47
04.09.2019 18:05;2932,8
04.09.2019 18:10;2933,2
04.09.2019 18:15;2931,31
04.09.2019 18:20;2931,39
04.09.2019 18:25;2931,37
04.09.2019 18:30;2930,98
04.09.2019 18:35;2931,96
04.09.2019 18:40;2931,8
04.09.2019 18:45;2934,17
04.09.2019 18:50;2933,2
04.09.2019 18:55;2933,78
04.09.2019 19:00;2933,64
04.09.2019 19:05;2934
04.09.2019 19:10;2933,02
04.09.2019 19:15;2932,38
04.09.2019 19:20;2932,84
04.09.2019 19:25;2933,78
04.09.2019 19:30;2933,44
04.09.2019 19:35;2931,97
04.09.2019 19:40;2931,34
04.09.2019 19:45;2930,88
04.09.2019 19:50;2930,17
04.09.2019 19:55;2930,45
04.09.2019 20:00;2931,6
04.09.2019 20:05;2930,75
04.09.2019 20:10;2929,69
04.09.2019 20:15;2930,73
04.09.2019 20:20;2931,05
04.09.2019 20:25;2932,38
04.09.2019 20:30;2933,27
04.09.2019 20:35;2933,42
04.09.2019 20:40;2934,02
04.09.2019 20:45;2934,61
04.09.2019 20:50;2934,65
04.09.2019 20:55;2934,18
04.09.2019 21:00;2935,42
04.09.2019 21:05;2935,27
04.09.2019 21:10;2936,96
04.09.2019 21:15;2935,06
04.09.2019 21:20;2935,27
04.09.2019 21:25;2935,76
04.09.2019 21:30;2937,56
04.09.2019 21:35;2937,43
04.09.2019 21:40;2937,34
04.09.2019 21:45;2937,96
04.09.2019 21:50;2938,35
04.09.2019 21:55;2937,97
04.09.2019 22:00;2937,78
04.09.2019 22:05;2937,78
04.09.2019 22:10;2937,78
05.09.2019 15:30;2966,33
05.09.2019 15:35;2968,7
05.09.2019 15:40;2968,5
05.09.2019 15:45;2971,99
05.09.2019 15:50;2973,76
05.09.2019 15:55;2973,37
05.09.2019 16:00;2977,15
05.09.2019 16:05;2978,68
05.09.2019 16:10;2980,75
05.09.2019 16:15;2985,86
05.09.2019 16:20;2981,8
05.09.2019 16:25;2979,77
05.09.2019 16:30;2981,62
05.09.2019 16:35;2981,17
05.09.2019 16:40;2981,1
05.09.2019 16:45;2978,56
05.09.2019 16:50;2979,25
05.09.2019 16:55;2978,13
05.09.2019 17:00;2978,99
